gene,n_evidence_rows,n_source_files,evidence_types,source_basenames,has_score_related,has_model_coefficient,has_model_importance,has_feature_stability,has_egfr_correlation,has_differential_expression,n_score_related,n_model_coef_evidence,n_model_importance_evidence,n_egfr_correlation_evidence,n_strong_correlation_evidence,n_significance_evidence,n_large_logfc_evidence,max_abs_coef,max_importance,max_abs_correlation,max_abs_logfc,min_p_like,max_neg_log10_p,total_weighted_evidence_score,evidence_count_score,score_related_score,model_coef_score,model_importance_score,egfr_corr_score,strong_corr_score,significance_score,logfc_evidence_score,weighted_score_scaled,final_priority_score,priority_class,broad_kidney_module_hint,wet_experiment_priority,suggested_first_validation
ANXA1,16,16,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv; GSE175759_step9_Tier1_injury_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,12,0,12,12,16,0,0.349558893332474,NA,9.94735934813379,NA,4.6381718299168e-6,5.33365316613305,60.70642411380417,1,1,1,0,1,1,1,0,1,11.5,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
PLBD1,16,16,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv; GSE175759_step9_Tier1_injury_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,12,0,12,12,16,0,0.165122378129323,NA,10.1748619070798,NA,1.20633918859472e-5,4.91853056365219,54.47637128105878,1,1,1,0,1,1,1,0,0.8965908308990038,11.396590830899004,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
ANKRD22,16,16,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv; GSE175759_step9_Tier1_injury_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,12,0,12,12,8,0,0.477635075291232,NA,8.50629343101603,NA,1.29148014425808e-4,3.88891226645964,43.80613499292404,1,1,1,0,1,1,0.5,0,0.7194815353136118,10.619481535313612,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
HTATIP2,16,16,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv; GSE175759_step9_Tier1_injury_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,12,0,12,12,8,0,0.23924207995072,NA,9.35989308889762,NA,5.66679116358783e-5,4.24666279197693,41.642486493829175,1,1,1,0,1,1,0.5,0,0.6835683417140286,10.58356834171403,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
CDKN1A,16,16,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv; GSE175759_step9_Tier1_injury_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,12,0,12,12,8,0,0.316349040205989,NA,8.39317159057304,NA,7.29214001050868e-5,4.13714500139836,37.86820403406532,1,1,1,0,1,1,0.5,0,0.6209211341229088,10.52092113412291,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
LINC02762,16,16,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv; GSE175759_step9_Tier1_injury_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,12,0,12,12,8,0,0.312878070237114,NA,8.08475876551391,NA,7.51206922489264e-5,4.12424041863194,35.88727275461751,1,1,1,0,1,1,0.5,0,0.5880407616520382,10.488040761652039,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
CASP1,16,16,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv; GSE175759_step9_Tier1_injury_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,12,0,12,12,8,0,0.3124733784043,NA,8.16786187028074,NA,1.30277301780932e-4,3.88513124483995,35.59380162120265,1,1,1,0,1,1,0.5,0,0.5831695981360484,10.48316959813605,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
NQO1,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,14,0,0.325728749422551,NA,9,NA,1.25747628031353e-5,4.90050019826098,41.5710336475408,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.875,0,0.6823823358063827,9.935412638836686,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
ALDH1L1-AS2,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_preserved_function_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,9,0,9,9,14,0,0.341793989678317,NA,12.4270905288001,NA,2.71006220893466e-6,5.56702073986841,46.08694914475111,0.8666666666666667,1,0.7272727272727273,0,0.7272727272727273,0.7272727272727273,0.875,0,0.7573394961762481,9.52855161738837,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
NALCN,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.555495728674552,NA,8.00305738017626,NA,7.98005943525263e-5,4.09799387402444,37.3725326769494,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.6126937619701219,9.415724065000425,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
MYCN,13,13,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_preserved_function_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,9,0,9,9,13,0,0.457754731442941,NA,11.6201197912168,NA,8.0966044486849e-6,5.09169707721753,45.324536556250386,0.8,1,0.7272727272727273,0,0.7272727272727273,0.7272727272727273,0.8125,0,0.7446846352295462,9.374230089775,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
AGR2,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.442589517842701,NA,7.85952320804232,NA,2.47654380114059e-4,3.60615398650832,31.808660060451512,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.5203421463896339,9.323372449419937,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
CARD16,14,14,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_injury_associated_core_genes.csv; GSE175759_step9_Tier1plusTier2_injury_genes.csv; GSE175759_Tier1plusTier2_injury_genes_for_enrichment.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,10,0,10,10,8,0,0.36272411009486,NA,7.84856835647388,NA,2.68117648105464e-4,3.57167459883858,29.686396182172075,0.8666666666666667,1,0.8181818181818182,0,0.8181818181818182,0.8181818181818182,0.5,0,0.48511587300838166,9.288146176038685,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
SLC5A11,13,13,egfr_correlation; score_related,GSE175759_eGFR_continuous_PRIMARY_vs_SENSITIVITY_stability.csv; GSE175759_eGFR_continuous_step6_results.xlsx; GSE175759_eGFR_group90_DE_step7_results.xlsx; GSE175759_GSEA_rank_continuous_eGFR_injury_direction.csv; GSE175759_GSEA_rank_group_eGFR_lt90_injury_direction.csv; GSE175759_IgAN41_eGFR_continuous_limma_spearman_SENSITIVITY.csv; GSE175759_IgAN41_eGFR_group90_DE_SENSITIVITY.csv; GSE175759_IgAN43_eGFR_continuous_limma_spearman_PRIMARY.csv; GSE175759_IgAN43_eGFR_group90_DE_PRIMARY.csv; GSE175759_integrated_candidate_genes_core_primary_sensitivity.csv; GSE175759_integrated_eGFR_continuous_and_group_all_genes.csv; GSE175759_integrated_preserved_function_core_genes.csv; GSE175759_step9_Tier1_high_confidence_candidates.csv,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,9,0,9,9,13,0,0.447075528725067,NA,9.9756006595635,NA,1.25825918040668e-5,4.90022989225574,40.10279255061242,0.8,1,0.7272727272727273,0,0.7272727272727273,0.7272727272727273,0.8125,0,0.6580118214705689,9.287557276016022,Class_A_model_score_plus_eGFR_correlation,need_single_cell_localization,single-cell localization first,先做IgAN单细胞/snRNA-seq定位，再决定HK-2、RPTEC、系膜细胞、巨噬细胞或成纤维细胞模型。
